"About us","Sobre nós"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","Adicionar cupom de desconto"
"Add discount code","Aplicar"
"Add to cart","Adicionar ao carrinho"
"Add to compare","Adicionar para Comparação"
"Add to favorite","Adicionar aos Favoritos"
"Author","Autor"
"Authorization in progress ...","Autorização em progresso ..."
"Back to login","Voltar para Login"
"Back","Voltar"
"Billing address","Endereço de Cobrança"
"Cancel","Cancelar"
"Change my password","Mudar minha senha"
"City *","Cidade *"
"City","Cidade"
"Close","Fechar"
"Company name *","Nome Fantasia *"
"Contact us","Entre em contato"
"Continue to payment","Continuar para Pagamento"
"Continue to shipping","Continuar para entrega"
"Copy address data from shipping","Copiar endereço dos dados de entrega"
"Country *","País *"
"Country","País"
"Create a new account","Criar uma nova conta"
"Current password *","Senha atual *"
"Customer service","Serviço de Atendimento ao Cliente"
"Date and time","Data e hora"
"Delivery","Entrega"
"Departments","Departamentos"
"Discount code","Código de desconto"
"Discount","Desconto"
"Don't hesitate and","Não hesite e"
"E-mail address *","Endereço de E-mail *"
"Edit newsletter preferences","Editar preferências de newsletter"
"Edit payment","Editar pagamento"
"Edit personal details","Editar dados pessoais"
"Edit shipping","Editar entrega"
"Edit your profile","Editar seu perfil"
"Edit your shipping details","Editar detalhes de entrega"
"Edit","Editar"
"Email address *","Endereço de E-mail *"
"Email address","Endereço E-mail"
"Enter your email to receive instructions on how to reset your password.","Informe um e-mail para receber as instruções de como recuperar sua senha."
"Erin recommends","Erin recomenda"
"Error while sending reset password e-mail","Ocorreu um erro ao enviar o e-mail de recuperação de senha"
"Everything new","Tudo novo"
"Field is required","Campo é obrigatório"
"Filter","Filtro"
"Filters","Filtros"
"First name *","Nome *"
"First name","Nome"
"Forgot the password?","Esqueceu a senha?"
"General agreement","Acordo geral"
"Get inspired","Se inspire"
"Go review the order","Ir para revisão do pedido"
"Go to Facebook","Ir para Facebook"
"Go to Instagram","Ir para Instagram"
"Go to Pinterest","Ir para Pinterest"
"Go to Youtube","Ir para Youtube"
"Go to checkout","Finalizar Compra"
"Help","Ajuda"
"Home","Início"
"House/Apartment number *","Número *"
"House/Apartment number","Número"
"I accept ","Eu aceito "
"I accept terms and conditions","Eu aceito os termos e condições"
"I agree to","Eu concordo com"
"I have a company and want to receive an invoice for every order","Eu possuo uma empresa e quero receber uma fatura para todos os pedidos"
"I want to create an account","Eu quero criar uma conta"
"I want to create an account'","Eu quero criar uma conta'"
"I want to generate an invoice for the company","Eu quero criar uma fatura para uma empresa"
"I want to receive a newsletter, and agree to its terms","Eu quero receber novidades, e concordo com os termos"
"If you need an assistance you can drop us a line on","Caso precise de alguma ajuda você pode nos deixar uma mensagem"
"Items ordered","Itens do pedido"
"Kidswear","Moda Infantil"
"Last name *","Sobrenome *"
"Last name","Sobrenome"
"Legal notice","Aviso Legal"
"Log in to your account","Logar na sua conta"
"Log in","Entrar"
"Login to your account","Logar para sua conta"
"Logout","Sair"
"Magazine","Revista"
"Men's fashion","Moda Masculina"
"My Account","Minha Conta"
"My account","Minha conta"
"My loyalty card","Meu cartão de fidelidade"
"My newsletter","Minha newsletter"
"My orders","Meus pedidos"
"My product reviews","Minhas avaliações de produtos"
"My profile","Meu perfil"
"My shipping details","Meus detalhes de entrega"
"Name must have at least 3 letters.","Nome deve ter ao menos 3 letras."
"New Luma Yoga Collection","Nova Coleção Luma Yoga"
"New password *","Nova senha *"
"Newsletter","Newsletter"
"No orders yet","Nenhum pedido ainda"
"No products found!","Nenhum produto encontrado!"
"No results were found.","Nenhum resultado foi encontrado."
"Open menu","Abrir menu"
"Open microcart","Abrir mini-carrinho"
"Open my account","Abrir minha conta"
"Open search panel","Abrir painel de busca"
"Open wishlist","Abrir lista de desejos"
"Order #{id}","Pedido #{id}"
"Order ID","ID do Pedido"
"Order Summary","Resumo do Pedido"
"Order informations","Informação do Pedido"
"Orders","Pedidos"
"Password *","Senha *"
"Passwords must be identical","Senhas precisam ser iguais"
"Passwords must be identical.","Senhas devem ser idênticas."
"Payment method","Método de pagamento"
"Payment","Pagamento"
"Personal Details","Detalhes Pessoais"
"Phone Number","Telefone"
"Phone number may be needed by carrier","Telefone pode ser necessário pelo método de entrega"
"Place the order","Enviar o pedido"
"Please check if all data are correct","Por favor verifique se todos os dados informados estão corretos "
"Please provide valid e-mail address.","Por favor informe um e-mail válido."
"Price {variant}","Preço {variant}"
"Price","Preço"
"Privacy policy","Política de Privacidade"
"Product Name","Nome do Produto"
"Product details","Detalhes do Produto"
"Purchase","Compra"
"Qty","Qtd"
"Quantity","Quantidade"
"Register an account","Criar uma conta"
"Register","Criar uma conta"
"Remake order","Refazer pedido"
"Remember me","Lembrar de mim"
"Remove from compare","Remover da comparação"
"Remove","Remover"
"Repeat new password *","Repetir senha *"
"Repeat password *","Repetir senha *"
"Reset password","Recuperação de senha"
"Resetting the password ... ","Resetando sua senha... "
"Return policy","Política de Devolução"
"Return to shopping","Voltar para loja"
"Returns","Retornar"
"Review order","Revisão do Pedido"
"SKU","SKU"
"SKU: {sku}","SKU: {sku}"
"Safety","Seguro"
"Sale","Promoção"
"Search","Busca"
"See details","Veja detalhes"
"See our bestsellers","Ver os mais vendidos"
"Select color ","Selecione uma cor "
"Select size {variant}","Selecione o tamanho {variant}"
"Ship to my default address","Enviar para meu endereço padrão"
"Shipping address","Endereço de Entrega"
"Shipping method","Método de Entrega"
"Shipping","Entrega"
"Shopping cart","Carrinho de compras"
"Shopping summary","Resumo da compra"
"Show subcategories","Mostrar subcategorias"
"Sign up to our newsletter and receive a coupon for 10% off!","Cadastre-se na nossa newsletter e receba um cupom de 10% de desconto!"
"Similar products","Produtos parecidos"
"Size guide","Guia de Tamanho"
"State / Province","Estado"
"Status","Status"
"Store locator","Localizador de lojas"
"Street name *","Endereço *"
"Street name","Endereço"
"Subscribe to the newsletter and receive a coupon for 10% off","Inscreva-se em nossa Newsletter e receba um cupom para 10% desconto"
"Subscribe","Inscreva"
"Subtotal","Subtotal"
"Tax ID *","CPF/CNPJ *"
"Tax ID must have at least 3 letters.","CPF/CNPJ deve possuir ao menos 3 caracteres."
"Tax identification number *","CPF/CNPJ *"
"Tax identification number must have at least 3 letters.","CPF/CNPJ precisa ter ao menos 3 caracteres."
"Tax","Imposto"
"Terms and conditions","Termos e condições"
"The new account will be created with the purchase. You will receive details on e-mail.","Sua nova conta será criada junto com o pedido. Você recebará os detalhes no e-mail."
"Toggle password visibility","Alternar visibilidade da senha"
"Track my order","Rastrear meu pedido"
"Type","Tipo"
"Unfortunately we can't find the page you are looking for.","Infelizmente não conseguimos encontrar a página que você está procurando."
"Update my preferences","Atualizar minhas preferências"
"Update my profile","Atualizar meu perfil"
"Update my shipping details","atualizar meus detalhes de entrega"
"Use my billing data","Usar meus dados de cobrança"
"Use my company's address details","Usar dados de pessoa jurídica"
"Use my company's address details","Utilizar meus dados de pessoa jurídica."
"Value","Valor"
"View all","Ver tudo"
"View order","Ver pedido"
"We can't find the page","Não encontramos a página"
"We use cookies to give you the best shopping experience.","Nós utilizamos cookies para dar a você a melhor experiência de compra."
"We will send you details regarding the order","Nós iremos enviar um e-mail para você com os detalhes do pedido"
"We will send you the invoice to given e-mail address","Nós iremos enviar para você a fatura no e-mail informado "
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Nós enviamos um e-mail com instruções de como recuperar sua senha. Verifique sua Caixa de Entrada e clique no link."
"Wishlist","Lista de Desejos"
"Women fashion","Moda Feminina"
"You are logged in as {firstname}","Você logou como {firstname}"
"You are offline. Some features might not be available.","Você está sem Internet, algumas funcionalidades estão limitadas"
"You can also use","Você també pode usar"
"You have been successfully subscribed to our newsletter!","Você foi inscrito com sucesso em nossa Newsletter!"
"You have no items to compare.","Você não possui itens para comparar."
"You must accept the terms and conditions.","Você deve aceitar os termos e condições."
"You've entered an incorrect coupon code. Please try again.","Você informou um código de cupom inválido. Por favor tente novamente."
"Your shopping cart is empty.","Seu carrinho de compra está vazio."
"Your wishlist is empty.","Sua lista de desejos está vazia."
"Zip-code *","CEP *"
"Zip-code must have at least 3 letters.","CEP precisa ter ao menos 3 letras."
"Zip-code","CEP"
"a chat","no chat"
"a contact page","página de contato"
"browse our catalog","visualize nosso catálogo"
"color_filter","Cor"
"login to your account","Entrar na sua conta"
"or write to us through","ou escrever para nos pela"
"or","ou"
"price_filter","Preço"
"register an account","criar uma conta"
"return to log in","Voltar para tela de login"
"search","a busca"
"size_filter","Tamanho"
"to find product you were looking for.","para achar o produto que você está procurando."
"to find something beautiful for You!","para encontrar algo bonito para Você!"
