" is out of stock!"," non è disponibile!"
"404 Page Not Found","404 Pagina non trovata"
"Account data has successfully been updated","Le tue informazioni sono state aggiornate con successo"
"Add review","Aggiungi una recensione"
"Adding a review ...","Adding a review ..."
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","L'indirizzo fornito nel checkout contiene dati non validi. Per favore controlla di averi riempito tutti i campi obbligatori e contattaci all'indirizzo email {email} per risolvere questo problema in futuro. Il tuo ordine è stato cancellato."
"Allow notification about the order","Consenti notifiche sull'ordine"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"Checkout","Cassa"
"Columns","Colonne"
"Compare Products","Confronta prodotti"
"Compare products","Confronta prodotti"
"Confirm your order","Conferma il tuo ordine"
"Error refreshing user token. User is not authorized to access the resource","Errore durante l'aggiornamento del token. L'utente non è autorizzato ad accedere alla risorsa"
"Error with response - bad content-type!","Errore nella risposta - content-type non valido!"
"Error: Error while adding products","Errore: c'è stato un errore durante l'aggiunta dei prodotti"
"Extension developers would like to thank you for placing an order!","Gli sviluppatori dell'estensione vorrebbero ringraziarti per aver fatto un ordine!"
"Field is required","Campo obbligatorio"
"Field is required.","Campo obbligatorio"
"Grand total","Totale"
"Home Page","Home"
"In stock!","Disponibile"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Errore interno dell'applicazione durante l'aggiornamento dei token. Per favore svuota lo storage e ricarica la pagina."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Errore di validazione interno. Se tutti i campi sono stati compilati contattare {email}"
"Must be greater than 0","Deve essere maggiore di 0"
"My Account","Il mio account"
"Newsletter preferences have successfully been updated","Le tue preferenze sulla newsletter sono state aggiornate con successo"
"No available product variants","Non ci sono varianti disponibili"
"No products synchronized for this category. Please come back while online!","Nessun prodotto in questa categoria. Verifica la connessione di rete e riprova!"
"No such configuration for the product. Please do choose another combination of attributes.","Configurazione del prodotto inesistente. Scegli un'altra combinazione di attributi"
"OK","OK"
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
"Or if you will stay on ""Order confirmation"" page, the order will be placed automatically without confirmation, once the internet connection will be back.","Oppure se rimarrai nella pagina di ""Conferma ordine"", l'ordine verrà automaticamente evaso senza conferma, una volta che la connessione sarà ripristinata."
"Out of stock!","Non disponibile"
"Out of the stock!","Non disponibile"
"Payment Information","Informazioni di pagamento"
"Please configure product bundle options and fix the validation errors","Per favore completa la configurazione del prodotto bundle e verifica la validazione dei dati"
"Please configure product custom options and fix the validation errors","Per favore configura le opzioni personabilizzate del prodotto e verifica di aver compilato correttamente tutti i campi"
"Please confirm order you placed when you was offline","Per favore conferma l'ordine che hai fatto quando eri offline"
"Please fix the validation errors","Verifica di aver compilato correttamente tutti i campi"
"Please select the field which You like to sort by","Scegli il campo con cui vuoi ordinare"
"Please wait ...","Attendere..."
"Proceed to checkout","Vai alla cassa"
"Processing order...","Ordine in corso..."
"Product has been added to the cart!","Il prodotto è stato aggiunto al carrello!"
"Product price is unknown, product cannot be added to the cart!","Il prezzo di questo prodotto è sconosciuto, non è possibile aggiungerlo al carrello!"
"Product quantity has been updated!","La quantità è stata aggiornata!"
"Product {productName} has been added to the compare!","Il prodotto {productName} è stato aggiunto al comparatore!"
"Product {productName} has been added to wishlist!","Il prodotto {productName} è stato aggiunto alla lista dei desideri!"
"Product {productName} has been removed from compare!","Il prodotto {productName} è stato rimosso dal comparatore"
"Product {productName} has been removed from wishlist!","Il prodotto {productName} è stato rimosso dalla lista dei desideri"
"Quantity available","Quantità ({qty} disponibile)"
"Quantity must be above 0","La quantità deve essere superiore a 0"
"Quantity must be below {quantity}","La quantità deve essere inferiore a {quantity}"
"Quantity must be positive integer","La quantità deve essere un numero positivo"
"Registering the account ...","Creazione dell'account..."
"Reset password feature does not work while offline!","Non puoi reimpostare la password quando non sei in linea!"
"Review","Recensione"
"Reviews","Recensioni"
"Select 0","Select 0"
"Select 1","Select 1"
"Shopping cart is empty. Please add some products before entering Checkout","Il tuo carrello è vuoto. Aggiungi almeno un prodotto prima di procedere alla cassa"
"Some of the ordered products are not available!","Alcuni dei prodotti ordinati non sono disponibili!"
"Stock check in progress, please wait while available stock quantities are checked","Verifica disponibilità in corso, attendere la verifica della quantità dei prodotti"
"Subtotal incl. tax","Subtotale tasse incluse"
"Summary","Riassunto"
"The product is out of stock and cannot be added to the cart!","Il prodotto non è più disponibile e non può essere aggiunto al carrello"
"The product, category or CMS page is not available in Offline mode. Redirecting to Home.","The product, category or CMS page is not available in Offline mode. Redirecting to Home."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Il sistema non è sicuro della disponibilità del prodotto (volatile). Il prodotto è stato aggiunto al carrello per prenotazione"
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Non sei connesso ad internet ma puoi ugualmente procedere con l'ordine. Non è possibile verificare adesso la disponibilità dei prodotti, se qualcuno dei prodotti ordinati non sarà più disponibile te lo faremo sapere."
"This feature is not implemented yet! Please take a look at https://github.com/vuestorefront/vue-storefront/issues for our Roadmap!","Questa funzionalità non è ancora stata implementata! Dai un'occhiata alla nostra roadmap qui https://github.com/vuestorefront/vue-storefront/issues!"
"Thumbnail","Miniatura"
"Type what you are looking for...","Cerca nel catalogo..."
"Unexpected authorization error. Check your Network conection.","Errore di autorizzazione inaspettato. Verifica la tua connesione."
"Unhandled error, wrong response format!","Errore inatteso, formato della risposta non valido!"
"Vue Storefront", "Vue Storefront"
"You are going to pay for this order upon delivery.","Pagherai questo ordine alla consegna."
"You are logged in!","Accesso eseguito!"
"You are to pay for this order upon delivery.","Pagherai questo ordine alla consegna."
"You need to be logged in to see this page","Devi essere loggato per vedere questa pagina"
"You submitted your review for moderation.","You submitted your review for moderation."
"You're logged out","Ti sei disconnesso"
"email","email"
"have as many","have as many"
"login","accedi"
"most you may purchase","most you may purchase"
"not authorized","non autorizzato"
"password","password"
"to account","al tuo account"
